airport_code,total_flights,average_departure_delay_minutes,average_arrival_delay_minutes,cancellation_rate_percent,departure_delay_percentage,arrival_delay_percentage
RDM,490,46.16,44.79,9.59,23.47,26.33
CID,586,47.96,43.30,10.75,29.35,31.57
CRW,260,42.73,42.20,5.77,30.00,33.85
TVC,211,45.71,40.64,9.00,31.28,33.18
MBS,164,42.15,40.18,12.80,35.98,39.63
MOT,189,46.87,39.39,8.47,24.34,28.04
AVP,128,46.95,37.47,2.34,21.88,26.56
LAN,103,35.37,37.32,7.77,26.21,34.95
SGF,605,35.40,35.92,5.12,26.12,28.60
HLN,161,35.61,35.92,3.11,22.36,26.71
AGS,248,36.51,32.31,1.61,31.45,32.66
DLH,150,40.44,32.26,3.33,29.33,29.33
STX,146,28.65,31.34,0.00,23.29,29.45
MLI,346,32.47,31.22,13.29,23.99,27.75
MSO,242,33.94,30.60,7.02,23.97,26.86
SBN,507,34.19,30.55,9.27,29.39,34.12
BIS,277,33.16,29.99,3.61,21.30,23.47
EGE,633,33.20,29.91,1.11,30.65,32.86
DSM,1252,32.01,29.73,8.07,25.48,29.23
AEX,155,27.50,27.99,5.16,20.65,26.45
SUN,264,29.28,26.53,1.89,17.80,19.70
SHV,307,25.30,24.87,8.47,16.61,20.85
MLU,155,23.86,24.82,4.52,23.87,30.97
GRB,332,32.20,24.54,6.02,23.49,27.41
LFT,217,28.51,24.53,7.37,23.96,23.04
ROA,256,27.30,24.24,5.86,23.83,25.39
ASE,971,31.67,23.87,11.02,31.51,29.87
BMI,143,27.59,23.76,7.69,20.98,30.77
FCA,249,25.35,23.24,6.43,21.69,30.12
FWA,312,26.46,23.17,6.73,28.53,33.01
GRR,1569,25.37,23.02,6.31,23.33,30.15
ATW,461,29.16,22.93,5.86,22.56,27.55
XNA,979,20.52,22.89,3.37,22.47,29.11
BZN,841,26.21,22.63,3.09,20.33,22.59
PSC,371,25.37,22.27,2.70,23.72,25.61
PIA,284,27.80,22.12,11.62,26.41,28.17
MSN,836,25.29,21.82,4.90,22.37,28.59
MGM,189,26.95,21.00,3.17,26.98,25.93
HPN,1074,23.04,20.85,3.35,24.77,28.58
FNT,159,19.06,20.74,4.40,20.13,35.85
DRO,273,20.84,20.70,1.10,19.78,24.91
OMA,1904,22.33,20.20,5.72,22.32,25.47
COU,131,24.44,19.73,15.27,22.90,25.95
ORD,20321,23.53,19.39,6.99,26.01,29.23
DTW,9473,23.56,19.22,3.42,24.49,28.97
MFE,285,23.19,19.11,3.16,18.60,18.95
GTF,217,23.48,19.08,1.84,19.35,20.74
BTR,385,21.58,18.98,4.16,24.94,25.71
XWA,149,27.61,18.94,5.37,23.49,22.82
FSD,570,19.74,18.42,3.86,25.26,29.65
EYW,856,23.63,18.25,2.45,28.39,26.64
EUG,588,25.47,18.11,15.14,20.92,19.22
MKE,2161,21.74,17.97,6.71,20.82,25.68
JNU,334,16.90,17.83,4.49,26.05,29.64
BLI,204,19.00,17.55,0.98,16.67,20.10
DFW,23570,20.89,17.17,2.77,28.33,28.61
SJU,3027,20.73,16.99,0.93,26.83,27.95
BUF,1579,19.34,16.91,14.25,18.62,25.02
FLG,110,15.60,16.63,0.00,15.45,21.82
MIA,10214,20.64,16.61,2.53,29.40,30.11
HDN,418,20.75,16.04,0.24,23.92,27.99
LRD,129,18.37,16.02,1.55,21.71,20.16
TYS,1117,19.93,15.97,6.27,19.79,24.17
BDL,1602,17.73,15.67,3.87,20.47,25.41
CMI,123,22.28,15.62,13.01,23.58,22.76
EVV,152,19.76,15.21,2.63,23.03,28.29
MCI,3780,15.91,15.15,4.87,21.85,26.16
PWM,599,22.63,14.97,7.01,17.86,19.03
IAH,8933,20.79,14.93,6.29,23.41,22.97
HSV,675,17.68,14.75,7.11,20.44,22.67
GRK,129,16.50,14.71,6.98,24.03,25.58
CHA,471,17.70,14.56,5.10,23.78,24.20
ACV,148,19.52,14.53,2.03,20.95,19.59
PHL,6943,17.55,14.45,2.64,21.91,25.09
LIT,900,16.35,14.42,2.89,22.56,26.22
LEX,632,18.70,14.37,2.37,19.94,26.27
ICT,748,15.52,14.22,2.67,17.91,22.86
BIL,278,10.56,13.71,1.44,16.91,23.38
BNA,7556,18.54,13.66,6.91,21.73,21.89
GPT,234,17.64,13.57,2.14,19.66,17.95
FLL,8460,20.09,13.51,3.13,31.23,28.87
CLT,16378,17.91,13.22,1.84,25.60,25.94
ORH,101,17.47,13.13,8.91,21.78,21.78
BTV,525,19.36,12.91,4.57,18.10,21.14
MCO,14296,17.71,12.47,2.92,25.60,25.00
PDX,4275,15.93,12.37,9.22,19.53,21.15
MSY,4065,17.51,12.35,2.83,24.03,23.99
PVD,968,17.20,12.22,4.34,21.49,21.90
ROC,956,17.34,12.20,4.50,21.44,24.16
IDA,228,19.52,12.15,1.32,15.35,16.23
FAR,531,19.63,12.13,3.20,19.59,20.53
STT,553,12.53,12.11,0.36,18.44,22.60
MEM,1673,15.35,12.05,3.71,19.61,22.30
RIC,1332,15.23,12.01,1.43,18.92,23.50
CRP,317,13.34,12.01,2.21,18.93,20.82
AUS,6692,16.50,11.96,3.35,23.46,23.74
JAC,556,20.46,11.94,1.62,24.28,24.64
ABE,349,20.05,11.92,3.15,16.91,21.49
CLE,3107,17.46,11.87,5.44,20.86,22.24
VPS,553,17.38,11.70,1.27,16.46,16.27
PBI,2909,19.71,11.58,3.64,24.24,22.17
TUL,1218,12.91,11.46,2.71,16.34,22.00
BWI,7551,16.80,11.35,3.63,28.94,27.41
BOI,1597,12.48,11.35,1.69,18.10,24.30
AMA,397,13.47,11.35,4.79,16.88,22.67
SDF,1755,15.11,11.25,2.11,18.52,22.28
STL,4935,14.99,11.25,4.54,23.20,23.87
MOB,192,15.98,11.06,1.56,19.27,20.31
CAK,269,15.86,10.89,4.46,18.96,22.68
LBB,477,16.81,10.87,3.98,20.34,19.08
MTJ,376,15.53,10.84,1.06,21.54,20.48
ANC,1130,15.68,10.84,9.03,22.92,23.63
MDW,5886,15.98,10.80,8.34,23.53,24.01
SRQ,1585,18.33,10.67,2.21,22.84,19.81
GFK,119,15.76,10.59,0.00,18.49,19.33
MDT,363,14.66,10.23,3.03,16.80,20.11
GEG,1288,15.24,10.20,3.57,17.55,21.12
PNS,857,15.82,10.20,1.87,19.95,18.90
SEA,11751,16.43,10.17,8.21,23.30,21.91
ABI,151,8.07,10.11,1.32,16.56,21.85
OKC,1732,12.36,10.11,3.46,15.88,19.11
DCA,11486,16.00,10.09,5.69,20.81,21.41
BHM,1306,15.17,10.06,3.52,18.68,20.06
CHS,1753,15.94,9.96,2.91,18.71,18.88
DAY,577,13.07,9.86,2.43,16.81,21.84
DEN,23361,16.47,9.80,4.24,25.97,23.98
ISP,479,13.22,9.68,1.88,21.50,24.01
HOU,4605,14.36,9.65,2.06,24.26,22.56
MHT,362,13.22,9.59,3.59,19.61,21.55
YUM,111,9.72,9.23,0.00,14.41,17.12
BOS,10134,15.97,9.19,3.21,21.55,23.49
SLC,9459,14.18,9.09,1.09,19.52,21.99
BQN,229,11.46,9.09,0.44,19.65,20.09
COS,956,13.06,8.83,1.36,17.26,18.83
SAF,124,3.39,8.67,1.61,12.10,22.58
CHO,236,10.64,8.39,7.63,16.10,19.92
SAV,1333,15.77,8.29,1.80,17.85,16.58
RDU,4490,13.49,8.23,2.63,18.80,20.49
ITO,597,4.75,8.18,1.01,15.24,20.10
RSW,3839,14.58,8.15,3.86,22.01,20.92
LIH,1323,12.05,7.92,0.60,20.56,23.36
STS,250,10.09,7.87,1.60,19.20,17.60
GJT,277,14.17,7.58,1.08,16.97,15.52
IAD,3988,11.79,7.53,7.07,16.37,19.98
PHX,15378,11.77,7.47,2.05,19.38,19.45
CAE,486,12.83,7.44,3.70,16.87,17.49
TRI,192,12.80,7.37,2.60,19.27,20.83
JAN,526,12.22,7.34,2.28,16.35,16.16
ATL,26315,12.52,7.25,1.03,19.92,19.91
FAI,194,11.40,7.08,6.19,20.62,24.74
RAP,295,15.04,7.05,2.03,17.29,18.98
SFO,10133,13.84,7.04,5.66,19.89,19.43
KOA,1402,11.84,7.02,5.21,16.26,17.48
CVG,3111,11.81,6.95,2.38,16.68,19.29
DAB,201,15.30,6.81,1.00,13.43,12.94
ILM,500,10.61,6.79,3.00,16.60,17.20
JAX,2311,12.28,6.77,1.90,19.08,18.87
AVL,853,11.92,6.73,1.88,20.16,21.22
ALB,863,10.98,6.59,2.55,19.58,21.09
ECP,417,11.13,6.42,1.20,17.27,16.79
SBP,351,9.75,6.39,0.28,15.95,17.38
TTN,245,8.93,6.21,7.35,18.78,22.45
DAL,6037,13.29,6.16,3.53,25.05,21.75
LAS,14942,11.27,6.03,2.50,20.75,20.33
SBA,543,9.07,6.03,0.92,16.02,18.05
TPA,6822,13.14,6.02,3.14,20.26,18.81
TUS,1582,10.29,6.02,0.88,15.74,16.56
MAF,688,9.29,5.92,2.47,15.99,16.86
HRL,338,10.56,5.89,1.18,17.75,18.34
ORF,1482,10.60,5.76,2.16,15.92,17.54
IND,3552,10.96,5.74,2.53,17.82,20.52
GSP,1207,12.07,5.73,3.07,16.98,17.73
SAT,3282,11.21,5.61,3.05,17.03,17.00
ELP,1286,9.48,5.56,1.71,16.10,16.02
RNO,1545,11.98,5.42,1.42,17.93,16.12
PSP,1431,8.93,5.34,4.05,16.42,18.03
PGD,540,11.85,5.29,1.48,22.96,20.93
LAX,15228,9.75,5.23,3.09,15.75,17.90
GSO,915,11.43,5.03,2.40,14.32,16.61
AZA,511,9.77,4.90,2.15,14.87,16.24
LGA,12700,14.06,4.89,4.58,19.72,20.28
ABQ,1808,9.83,4.78,1.83,16.98,17.70
TLH,480,7.03,4.73,1.46,16.88,18.54
MFR,363,14.27,4.71,0.83,14.33,13.22
SNA,3642,10.03,4.70,1.07,16.83,17.16
PIT,3250,9.94,4.51,2.31,15.02,19.02
SAN,7075,9.14,4.39,4.99,16.03,16.66
FAY,123,10.71,4.37,2.44,14.63,15.45
MSP,9438,14.07,4.35,1.85,17.59,18.52
FAT,871,8.97,4.30,0.92,18.25,17.80
JFK,9471,13.94,4.28,2.94,20.10,21.94
CMH,3168,9.51,3.80,2.81,16.19,18.56
PIE,580,10.59,3.54,0.86,17.93,16.72
ONT,1888,10.71,3.41,2.22,15.47,14.04
ACY,262,2.72,3.40,1.91,11.83,19.08
OGG,2263,9.20,3.29,4.24,17.81,18.87
HNL,5169,11.66,3.27,2.79,22.00,18.79
EWR,10176,12.29,2.98,6.94,18.55,18.27
MLB,223,10.51,2.93,0.00,18.83,17.04
BRO,111,6.93,2.81,2.70,18.02,17.12
LGB,1487,6.78,2.54,1.68,16.27,16.34
BUR,2330,7.43,2.52,2.06,15.62,16.22
PAE,112,3.42,2.32,23.21,13.39,15.18
BFL,179,7.95,2.04,0.00,11.73,12.29
OAK,3538,8.04,1.89,1.72,18.46,16.53
SMF,4144,7.71,1.81,1.38,15.73,14.72
SYR,1071,9.77,1.29,2.80,15.78,18.86
SFB,744,8.91,0.77,1.34,17.61,17.74
SGU,207,2.35,0.63,0.00,11.59,14.98
SJC,3832,6.14,0.19,1.93,15.01,14.72
KTN,182,5.35,0.04,6.59,20.33,18.13
PVU,166,9.17,-0.24,1.20,16.27,16.87
MRY,309,6.25,-0.45,0.32,13.59,12.94
MYR,780,6.72,-0.72,1.41,15.00,13.08
GNV,205,4.31,-2.51,2.44,15.12,11.71
BGR,240,6.50,-3.76,9.58,13.33,14.17
